"row_number","status","error_message"
"1","FAILED","INVALID_EMAIL | INVALID_MOBILE"
"1","FAILED","INVALID_EMAIL | INVALID_MOBILE"
"2","SUCCESS",""
"2","SUCCESS",""
"3","FAILED","INVALID_MOBILE"
"3","FAILED","INVALID_MOBILE"
"4","SUCCESS",""
"4","SUCCESS",""
"5","FAILED","INVALID_EMAIL"
"5","FAILED","INVALID_EMAIL"
"6","SUCCESS",""
"6","SUCCESS",""
"7","SUCCESS",""
"7","SUCCESS",""
"8","FAILED","INVALID_MOBILE"
"8","FAILED","INVALID_MOBILE"
"9","SUCCESS",""
"9","SUCCESS",""
"10","FAILED","MISSING_DATA"
"10","FAILED","MISSING_DATA"
"11","SUCCESS",""
"11","SUCCESS",""
"12","FAILED","INVALID_MOBILE"
"12","FAILED","INVALID_MOBILE"
"13","SUCCESS",""
"13","SUCCESS",""
"14","FAILED","INVALID_MOBILE"
"14","FAILED","INVALID_MOBILE"
"15","SUCCESS",""
"15","SUCCESS",""
